datapoint,cardinal,date,other,relevance,resultIndex,url
"He placed all 8,000 solar eclipses in von Oppolzer's Canon der Finsternisse (1887) into a large two-dimensional matrix.","8,000, two",1887,PERSON/Finsternisse,0.772391331057,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"He placed all 8,000 solar eclipses in von Oppolzer's Canon der Finsternisse (1887) into a large two-dimensional matrix.","8,000, two",1887,PERSON/Finsternisse,0.772391331057,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
Table 7 shows how the number of draconic and anomalistic months change with respect to 223 synodic months (Saros period) over an interval of 7000 years.,223,"months, months, 7000 years",FAC/Table 7,0.869312793279,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
Table 7 shows how the number of draconic and anomalistic months change with respect to 223 synodic months (Saros period) over an interval of 7000 years.,223,"months, months, 7000 years",FAC/Table 7,0.869312793279,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"One Saros is equal to 223 synodic months, however, 239 anomalistic months and 242 draconic months are also equal (within a few hours) to this same period:","223, 239, 242","months, months, draconic months","PERSON/One Saros, TIME/a few hours",0.862659463823,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"One Saros is equal to 223 synodic months, however, 239 anomalistic months and 242 draconic months are also equal (within a few hours) to this same period:","223, 239, 242","months, months, draconic months","PERSON/One Saros, TIME/a few hours",0.862596885051,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The mean synodic and draconic months are increasing by approximately 0.2 and 0.4 s per millennium, respectively.","approximately 0.2, 0.4",draconic months,,0.851960568082,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The mean synodic and draconic months are increasing by approximately 0.2 and 0.4 s per millennium, respectively.","approximately 0.2, 0.4",draconic months,,0.851960568082,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The middle life of a Saros series is composed of umbral/antumbral eclipses (i.e., annular, total, or hybrid), which range in number from 39 to 59.","39, 59",,PRODUCT/Saros,0.848119418738,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The middle life of a Saros series is composed of umbral/antumbral eclipses (i.e., annular, total, or hybrid), which range in number from 39 to 59.","39, 59",,PRODUCT/Saros,0.848070030125,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"In comparison, the mean difference between these two cycles in the Saros is 52 min.","two, 52",,ORG/Saros,0.847429920606,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"In comparison, the mean difference between these two cycles in the Saros is 52 min.","two, 52",,ORG/Saros,0.847402457750,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
Table 8 shows how the number of draconic months is changing with respect to 358 synodic months (Inex period) over a 7000-year interval.,"8, 358","draconic months, months, 7000-year",,0.845828105216,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
Table 8 shows how the number of draconic months is changing with respect to 358 synodic months (Inex period) over a 7000-year interval.,"8, 358","draconic months, months, 7000-year",,0.845820212275,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The time interval between any two successive solar eclipses can be either 1, 5, or 6 lunations (synodic months).","two, 1, 6","5, months",,0.841436909128,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The time interval between any two successive solar eclipses can be either 1, 5, or 6 lunations (synodic months).","two, 1, 6","5, months",,0.841436909128,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
1.6 Saros Series Statistics Eclipses belonging to 204 different Saros series fall within the five millennium span of the Canon and Catalog .,204,the five millennium,"ORG/Saros Series Statistics .$%$. Eclipses, ORG/Saros, PERSON/Canon, PERSON/Catalog",0.837958680994,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
1.6 Saros Series Statistics Eclipses belonging to 204 different Saros series fall within the five millennium span of the Canon and Catalog .,204,the five millennium,"ORG/Saros Series Statistics .$%$. Eclipses, ORG/Saros, PERSON/Canon, PERSON/Catalog",0.837713561880,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The westward migration of each eclipse path from 1901 through 2045 illustrates the consequences of the extra 1/3 day in the Saros period.,2045,"1901, 1/3 day",ORG/Saros,0.835884181229,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The westward migration of each eclipse path from 1901 through 2045 illustrates the consequences of the extra 1/3 day in the Saros period.,2045,"1901, 1/3 day",ORG/Saros,0.835884181229,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"There is an interval of 1, 5, or 6 synodic months between any sequential pair of solar eclipses.",1,"5, 6 synodic months",,0.833521401271,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"There is an interval of 1, 5, or 6 synodic months between any sequential pair of solar eclipses.",1,"5, 6 synodic months",,0.833521401271,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
Figure 1 shows the path of totality for nine eclipses belonging to Saros 136.,"1, nine",,PRODUCT/Saros 136,0.833487319297,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
Figure 1 shows the path of totality for nine eclipses belonging to Saros 136.,"1, nine",,PRODUCT/Saros 136,0.833487319297,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"After beginning with 11 partial eclipses, Saros 0 proceeds with a total, a hybrid, and an annular eclipse.",11,,PRODUCT/Saros 0,0.832891112024,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"After beginning with 11 partial eclipses, Saros 0 proceeds with a total, a hybrid, and an annular eclipse.",11,,PRODUCT/Saros 0,0.832850440251,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Catalog of Solar Eclipse Saros Series contains links to 181 web pages, each one listing the details of all eclipses in a particular Saros series: 1.7 Saros and Other Periods","181, 1.7",,"PRODUCT/Solar, PERSON/Eclipse Saros, PRODUCT/Saros, ORG/Saros and Other Periods",0.828377050921,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Catalog of Solar Eclipse Saros Series contains links to 181 web pages, each one listing the details of all eclipses in a particular Saros series: 1.7 Saros and Other Periods","181, 1.7",,"PRODUCT/Solar, PERSON/Eclipse Saros, PRODUCT/Saros, ORG/Saros and Other Periods",0.828377050921,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The deviation from a multiple of 0.5 draconic months should be small (i.e., Moon should be nearly the same distance from the node).",0.5,months,PERSON/Moon,0.825075138852,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The deviation from a multiple of 0.5 draconic months should be small (i.e., Moon should be nearly the same distance from the node).",0.5,months,PERSON/Moon,0.825075138852,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The extra 0.5 in the number of draconic months means that eclipses separated by one Inex period occur at opposite nodes.,"0.5, one",draconic months,ORG/Inex,0.824671121976,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The extra 0.5 in the number of draconic months means that eclipses separated by one Inex period occur at opposite nodes.,"0.5, one",draconic months,ORG/Inex,0.824630262132,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"It shows 61,775 solar eclipses over a 26,000-year period from -11,000 to +15,000 organized by Saros and Inex Series.","61,775","26,000-year",ORG/Saros and Inex Series,0.823951915914,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"It shows 61,775 solar eclipses over a 26,000-year period from -11,000 to +15,000 organized by Saros and Inex Series.","61,775","26,000-year",ORG/Saros and Inex Series,0.823951915914,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"After about 10 Saros cycles (\~200 years), the first umbral/antumbral eclipse occurs near the South Pole of Earth.",about 10,,"ORDINAL/first, LOC/the South Pole of Earth",0.823135849738,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"After about 10 Saros cycles (\~200 years), the first umbral/antumbral eclipse occurs near the South Pole of Earth.",about 10,,"ORDINAL/first, LOC/the South Pole of Earth",0.823093151581,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"If the instantaneous mean durations of the synodic and draconic months for the years -2000, +2000, and +4000 are used to calculate the mean duration of the Inex, the resulting lengths are about 14,500, 26,600, and 51,000 years, respectively (Meeus, 2004).","about 14,500, 26,600","51,000 years, 2004","WORK_OF_ART/Inex, PERSON/Meeus",0.821253421171,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"If the instantaneous mean durations of the synodic and draconic months for the years -2000, +2000, and +4000 are used to calculate the mean duration of the Inex, the resulting lengths are about 14,500, 26,600, and 51,000 years, respectively (Meeus, 2004).","about 14,500, 26,600","51,000 years, 2004","WORK_OF_ART/Inex, PERSON/Meeus",0.821253421171,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
[3] The duration of the A/T/H eclipse sequence of Saros 0 is 974 years because it contains three partial eclipses.,"3, three",974 years,ORG/Saros 0,0.819465288596,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
[3] The duration of the A/T/H eclipse sequence of Saros 0 is 974 years because it contains three partial eclipses.,"3, three",974 years,ORG/Saros 0,0.819443743445,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Among the 204 Saros series with members falling within the scope of the Canon and Catalog, the number of partial eclipses in the initial phase ranges from 6 to 25.","204, 6, 25",,"PERSON/Canon, PERSON/Catalog",0.819164425357,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Among the 204 Saros series with members falling within the scope of the Canon and Catalog, the number of partial eclipses in the initial phase ranges from 6 to 25.","204, 6, 25",,"PERSON/Canon, PERSON/Catalog",0.819141318540,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The period is a little less that half a calendar year because the lunar nodes slowly regress westward by 19.3° per year.,19.3°,,,0.818537202966,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The period is a little less that half a calendar year because the lunar nodes slowly regress westward by 19.3° per year.,19.3°,,,0.818537202966,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"While a Saros series lasts 12 to 15 centuries, an Inex series typically lasts 225 centuries and contains about 780 eclipses.",780,"12 to 15 centuries, 225 centuries","PRODUCT/Saros, WORK_OF_ART/Inex",0.818055849129,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"While a Saros series lasts 12 to 15 centuries, an Inex series typically lasts 225 centuries and contains about 780 eclipses.",780,"12 to 15 centuries, 225 centuries","PRODUCT/Saros, WORK_OF_ART/Inex",0.818055849129,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Solar Eclipse Repetition Eclipses separated by 1, 5 or 6 lunations are usually quite dissimilar.","1, 5, 6",,,0.813581575060,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Solar Eclipse Repetition Eclipses separated by 1, 5 or 6 lunations are usually quite dissimilar.","1, 5, 6",,,0.813581575060,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Over the course of the next 7 to 10 centuries, a central eclipse occurs every 18.031 years (= Saros), but will be displaced northward by about 250 km with respect to Earth's center.",about 250,"the next 7 to 10 centuries, every 18.031 years","ORG/Saros, LOC/Earth",0.813208750675,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Over the course of the next 7 to 10 centuries, a central eclipse occurs every 18.031 years (= Saros), but will be displaced northward by about 250 km with respect to Earth's center.",about 250,"the next 7 to 10 centuries, every 18.031 years","ORG/Saros, LOC/Earth",0.813208750675,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Among several hundred Saros series examined (-34 to 247), there are many other examples of temporary shifts in the monotonic nature of gamma, although none as bizarre as Saros 0.","several hundred, 247",,"ORG/Saros, PRODUCT/Saros 0",0.808828207680,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Among several hundred Saros series examined (-34 to 247), there are many other examples of temporary shifts in the monotonic nature of gamma, although none as bizarre as Saros 0.","several hundred, 247",,"ORG/Saros, PRODUCT/Saros 0",0.808828207680,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Inex is equal to 358 synodic months (\~29 years less 20 days), which is very nearly 388.5 draconic months.",358,"months, years, 20 days, nearly 388.5 draconic months",WORK_OF_ART/Inex,0.808661705977,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Inex is equal to 358 synodic months (\~29 years less 20 days), which is very nearly 388.5 draconic months.",358,"months, years, 20 days, nearly 388.5 draconic months",WORK_OF_ART/Inex,0.808661705977,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"A series may last 1,226 to 1,551 years and is composed of 69 to 87 eclipses, of which 39 to 59 are umbral/antumbral (i.e., annular, total, or hybrid).","1,226, 69, 39, 59",,,0.808286788723,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"A series may last 1,226 to 1,551 years and is composed of 69 to 87 eclipses, of which 39 to 59 are umbral/antumbral (i.e., annular, total, or hybrid).","1,226, 69, 39, 59",,,0.808266623978,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
He assigned the number 1 to a pair of solar and lunar eclipse series that were in progress during the second millennium BCE based on an extrapolation from von Oppolzer's Canon der Finsternisse (1887).,1,1887,"ORDINAL/second, ORG/BCE, PERSON/Finsternisse",0.806527738232,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
He assigned the number 1 to a pair of solar and lunar eclipse series that were in progress during the second millennium BCE based on an extrapolation from von Oppolzer's Canon der Finsternisse (1887).,1,1887,"ORDINAL/second, ORG/BCE, PERSON/Finsternisse",0.806526755368,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"3,310 Time of ecliptic conjunction Modern digital computers using high precision solar and lunar ephemerides can directly predict the dates and circumstances of eclipses.","3,310",,,0.802782021920,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"3,310 Time of ecliptic conjunction Modern digital computers using high precision solar and lunar ephemerides can directly predict the dates and circumstances of eclipses.","3,310",,,0.802782021920,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Similarly, the number of partial eclipses in the final phase varies from 6 to 24.","6, 24",,,0.802048721550,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Similarly, the number of partial eclipses in the final phase varies from 6 to 24.","6, 24",,,0.801990261188,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"As published in in both the Five Millennium Canon of Solar Eclipses and Five Millennium Catalog of Solar Eclipses, the distribution of the 11,897 intervals between these eclipses is found in Table 1.","Five, 11,897",,"PRODUCT/Solar Eclipses, PRODUCT/Solar Eclipses, FAC/Table 1",0.801926180945,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"As published in in both the Five Millennium Canon of Solar Eclipses and Five Millennium Catalog of Solar Eclipses, the distribution of the 11,897 intervals between these eclipses is found in Table 1.","Five, 11,897",,"PRODUCT/Solar Eclipses, PRODUCT/Solar Eclipses, FAC/Table 1",0.801926180945,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Saros-Inex Panorama Van den Bergh placed all 8,000 solar eclipses in von Oppolzer's Canon der Finsternisse (1887) into a large two-dimensional matrix.","8,000, two",1887,"PRODUCT/Saros-Inex Panorama .$%$. Van den, GPE/Bergh, PERSON/Finsternisse",0.798288151146,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Saros-Inex Panorama Van den Bergh placed all 8,000 solar eclipses in von Oppolzer's Canon der Finsternisse (1887) into a large two-dimensional matrix.","8,000, two",1887,"PRODUCT/Saros-Inex Panorama .$%$. Van den, GPE/Bergh, PERSON/Finsternisse",0.798288151146,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
1.5 Gamma and Saros Series Gamma changes monotonically throughout any single Saros series.,1.5,,"PERSON/Gamma, PRODUCT/Saros",0.797612702285,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
1.5 Gamma and Saros Series Gamma changes monotonically throughout any single Saros series.,1.5,,"PERSON/Gamma, PRODUCT/Saros",0.797612702285,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"If New Moon takes place within about 17° of a node[1], then a solar eclipse will be visible from some location on Earth.",about 17,,"GPE/New Moon, LOC/Earth",0.794476242049,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"If New Moon takes place within about 17° of a node[1], then a solar eclipse will be visible from some location on Earth.",about 17,,"GPE/New Moon, LOC/Earth",0.794476242049,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The number of eclipses in each of these series ranges from 70 to 82, however, the majority of the series (84.6%) are composed of 70 to 73 eclipses.","70, 82, 70 to 73",,,0.793824012043,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The number of eclipses in each of these series ranges from 70 to 82, however, the majority of the series (84.6%) are composed of 70 to 73 eclipses.","70, 82, 70 to 73",,,0.793824012043,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Although the paths of previous eclipses in this series were shifting progressively northward (Figure 1), the trend here is reversed and the paths shift south.",1,,,0.793288902687,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Although the paths of previous eclipses in this series were shifting progressively northward (Figure 1), the trend here is reversed and the paths shift south.",1,,,0.793288902687,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
It finally resumes with a string of 45 annular eclipses before ending with 7 partial eclipses.,"45, 7",,,0.789686334653,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
It finally resumes with a string of 45 annular eclipses before ending with 7 partial eclipses.,"45, 7",,,0.789614127942,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
A concise summary of all 204 Saros series (-13 to 190) is presented in:,"204, 190",,,0.788487610287,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
A concise summary of all 204 Saros series (-13 to 190) is presented in:,"204, 190",,,0.788487610287,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The number of eclipses in each of these series ranges from 69 to 87; however, over a quarter (27.9%) of the series contain 72 eclipses while nearly three quarters (72.1%) of them have 70 to 73 eclipses.","69, 87, 72, 70 to 73",nearly three quarters,,0.786509641348,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The number of eclipses in each of these series ranges from 69 to 87; however, over a quarter (27.9%) of the series contain 72 eclipses while nearly three quarters (72.1%) of them have 70 to 73 eclipses.","69, 87, 72, 70 to 73",nearly three quarters,,0.786509641348,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
[1] The actual value ranges from 15.39° to 18.59° because of the eccentricity of the Moon's (and Earth's) orbit.,"1, 15.39, 18.59",,"PERSON/Moon, LOC/Earth",0.784337557208,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
[1] The actual value ranges from 15.39° to 18.59° because of the eccentricity of the Moon's (and Earth's) orbit.,"1, 15.39, 18.59",,"PERSON/Moon, LOC/Earth",0.784337557208,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The Moon's umbral/antumbral shadow passes about 3500 km south of Earth and a small partial eclipse will be visible from high southern latitudes.,,,"PERSON/Moon, LOC/Earth",0.782773112818,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The Moon's umbral/antumbral shadow passes about 3500 km south of Earth and a small partial eclipse will be visible from high southern latitudes.,,,"PERSON/Moon, LOC/Earth",0.782728505286,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Earth will experience 11,898 eclipses of the Sun during the 5000-year period from -1999 to +3000 (2000 BCE to 3000 CE","11,898, 2000, 3000",5000-year,"LOC/Earth, LOC/Sun, ORG/BCE",0.782446103439,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Earth will experience 11,898 eclipses of the Sun during the 5000-year period from -1999 to +3000 (2000 BCE to 3000 CE","11,898, 2000, 3000",5000-year,"LOC/Earth, LOC/Sun, ORG/BCE",0.782446103439,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Sun makes one complete circuit of the ecliptic in 365.24 days, so its average angular velocity is 0.99° per day.","one, 0.99",365.24 days,ORG/Sun,0.781001788197,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"The Sun makes one complete circuit of the ecliptic in 365.24 days, so its average angular velocity is 0.99° per day.","one, 0.99",365.24 days,ORG/Sun,0.781001788197,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The orbit of the Moon around Earth is inclined about 5.1° to Earth's orbit around the Sun.,about 5.1,,"PERSON/Moon, LOC/Earth, LOC/Earth, ORG/Sun",0.780807432580,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The orbit of the Moon around Earth is inclined about 5.1° to Earth's orbit around the Sun.,about 5.1,,"PERSON/Moon, LOC/Earth, LOC/Earth, ORG/Sun",0.780807432580,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"It began in -2955 with 11 partial eclipses, followed by 1 total, 1 hybrid, and 4 annulars.","11, 1, 1, 4",,,0.780655340824,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"It began in -2955 with 11 partial eclipses, followed by 1 total, 1 hybrid, and 4 annulars.","11, 1, 1, 4",,,0.780655340824,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The extra 1/3 day displacement means that Earth must rotate an additional \~8 hours or \~120° with each cycle.,1/3,,"LOC/Earth, TIME/hours",0.777724953377,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
The extra 1/3 day displacement means that Earth must rotate an additional \~8 hours or \~120° with each cycle.,1/3,,"LOC/Earth, TIME/hours",0.777724953377,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Finally, 121 complete Saros series are contained within the Canon and Catalog (27 to 29, 31 to 144, 146, and 148 to 150).","121, 31, 144, 146, 148, 150",27 to 29,"PRODUCT/Saros, PERSON/Canon, PERSON/Catalog",0.772740121019,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Finally, 121 complete Saros series are contained within the Canon and Catalog (27 to 29, 31 to 144, 146, and 148 to 150).","121, 31, 144, 146, 148, 150",27 to 29,"PRODUCT/Saros, PERSON/Canon, PERSON/Catalog",0.772740121019,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"At this rate, it takes 34.5 days for the Sun to cross the 34° wide eclipse zone centered on each node.",34,34.5 days,ORG/Sun,0.772456159345,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"At this rate, it takes 34.5 days for the Sun to cross the 34° wide eclipse zone centered on each node.",34,34.5 days,ORG/Sun,0.772456159345,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
"Meanwhile, the anomalistic month is decreasing by about 0.8 s per millennium.",about 0.8 s per millennium,the anomalistic month,,0.768396311200,2,https://eclipse.gsfc.nasa.gov/SEsaros/SEperiodicity.html
